timestamp_utc,motor,direction,ticks,temperature
2026-02-06T12:07:18Z,1,closing,6108,3.9
2026-02-06T14:01:10Z,2,opening,5277,5.2
2026-02-06T14:01:20Z,1,opening,5691,5.2
2026-02-06T15:56:38Z,2,closing,5775,4.7
2026-02-06T15:56:49Z,1,closing,6219,4.7
2026-02-06T16:08:37Z,2,opening,5221,4.7
2026-02-06T16:08:40Z,1,opening,5616,4.7
2026-02-06T16:34:52Z,2,closing,5683,4.5
2026-02-06T16:34:56Z,1,closing,6094,4.5
2026-02-06T17:43:40Z,2,opening,5259,4.6
2026-02-06T17:43:50Z,1,opening,5666,4.6
2026-02-06T17:48:06Z,2,closing,5578,4.6
2026-02-06T17:48:10Z,1,closing,5987,4.6
2026-02-06T17:51:35Z,2,opening,5055,4.6
2026-02-06T17:51:44Z,1,opening,5420,4.6
2026-02-06T17:57:50Z,2,closing,5499,4.6
2026-02-06T17:57:58Z,1,closing,5840,4.6
2026-02-07T06:19:18Z,2,opening,5336,5.7
2026-02-07T06:19:29Z,1,opening,5778,5.7
2026-02-07T07:49:43Z,2,closing,5762,5.9
2026-02-07T07:49:53Z,1,closing,6206,5.9
2026-02-07T08:41:05Z,2,opening,5262,6.3
2026-02-07T08:41:08Z,1,opening,5691,6.3
2026-02-07T09:12:34Z,2,closing,5645,6.9
2026-02-07T09:12:45Z,1,closing,6082,6.9
2026-02-07T09:14:46Z,2,opening,5060,7.0
2026-02-07T09:14:55Z,1,opening,5454,7.0
2026-02-07T10:12:09Z,2,closing,5608,8.3
2026-02-07T10:12:19Z,1,closing,6026,8.3
2026-02-24T10:20:54Z,2,opening,5182,13.2
2026-02-24T10:21:04Z,1,opening,5628,13.2
2026-02-24T10:43:16Z,2,closing,5578,12.9
2026-02-24T10:43:19Z,1,closing,5996,12.9
2026-02-24T10:45:28Z,2,opening,4977,12.9
2026-02-24T10:45:39Z,1,opening,5388,12.9
2026-02-24T11:49:18Z,2,closing,5514,13.5
2026-02-24T11:49:28Z,1,closing,5920,13.5
2026-02-24T13:04:19Z,2,opening,5017,14.0
2026-02-24T13:04:29Z,1,opening,5432,14.0
2026-02-24T14:28:45Z,2,closing,5530,14.7
2026-02-24T14:28:54Z,1,closing,5909,14.7
2026-02-24T15:44:45Z,2,opening,5025,14.5
2026-02-24T15:44:55Z,1,opening,5422,14.5
2026-02-24T16:09:04Z,2,closing,5499,14.3
2026-02-24T16:09:12Z,1,closing,5819,14.3
2026-02-24T17:38:05Z,2,opening,5042,13.6
2026-02-24T18:18:51Z,2,closing,5543,13.5
2026-02-24T18:18:53Z,1,closing,5885,13.5
2026-02-24T18:37:21Z,2,opening,4994,13.3
2026-02-24T18:37:31Z,1,opening,5373,13.3
2026-02-24T19:12:42Z,2,closing,5498,13.2
2026-02-24T19:12:51Z,1,closing,5845,13.2
2026-02-24T20:17:43Z,2,opening,5031,13.3
2026-02-24T20:17:52Z,1,opening,5416,13.3
2026-02-24T20:38:07Z,2,closing,5489,13.1
2026-02-24T20:38:16Z,1,closing,5838,13.1
2026-02-26T08:06:32Z,2,opening,5263,12.4
2026-02-26T08:06:36Z,1,opening,5682,12.4
2026-02-26T08:18:33Z,2,closing,5536,12.7
2026-02-26T18:16:25Z,2,opening,5016,15.6
2026-02-26T18:16:26Z,1,opening,5365,15.6
2026-02-26T21:59:09Z,2,closing,5569,14.6
2026-02-26T21:59:14Z,1,closing,5922,14.6
2026-02-27T09:55:03Z,2,opening,5138,18.1
2026-02-27T09:55:08Z,1,opening,5548,18.1
2026-02-27T12:30:10Z,2,closing,5403,22.3
2026-02-27T12:30:13Z,1,closing,5755,22.3
2026-02-27T12:46:27Z,2,opening,4877,22.6
2026-02-27T12:46:30Z,1,opening,5259,22.6
2026-02-27T14:39:07Z,2,closing,5417,20.2
2026-02-27T14:39:11Z,1,closing,5707,20.2
2026-02-27T14:50:22Z,2,opening,4859,20.1
2026-02-27T14:50:28Z,1,opening,5241,20.1
2026-02-27T14:53:19Z,2,closing,5276,20.0
2026-02-27T14:53:23Z,1,closing,5585,20.0
